source,post_id,user_id,container_id,amp_prob_full,amp_prob_behavioral,is_sockpuppet,n_chars,n_words,n_emoji,n_punct,emoji_density,punct_density,is_short,is_long,is_emoji_heavy,max_token_repeat_ratio,has_repeated_chars,hour_of_day,day_of_week,is_late_night
tiktok,7039524366291583745,tiktok_7014099445114668059,7039505802012429594,0.1,0.1,,123,23,1,0,0.043478260869565216,0.0,0,0,0,0.043478260869565216,0,2,3,1
tiktok,7039524477365076738,tiktok_6806122109413131265,7039505802012429594,0.1,0.1,,148,19,2,6,0.10526315789473684,0.04054054054054054,0,0,0,0.05263157894736842,0,2,3,1
tiktok,7039524519211959042,tiktok_6881113907756221442,7039505802012429594,0.15,0.15,,28,6,0,0,0.0,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039525240774787842,tiktok_6734993013972648961,7039505802012429594,0.2,0.2,,70,6,5,0,0.8333333333333334,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039526006436856577,tiktok_6954144175193392129,7039505802012429594,1.0,1.0,,13,1,7,0,1.0,0.0,0,0,1,0.0,0,2,3,1
tiktok,7039526135889281794,tiktok_6925943062297560065,7039505802012429594,0.67,0.67,,20,1,6,0,1.0,0.0,0,0,1,0.0,0,2,3,1
tiktok,7039572616428503810,tiktok_6806280265298134018,7039505802012429594,0.1,0.1,,106,9,0,19,0.0,0.1792452830188679,0,0,0,0.0,1,5,3,1
tiktok,7039554836446380802,tiktok_6551041044137082881,7039505802012429594,0.1,0.1,,57,11,2,0,0.18181818181818182,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039548147206947585,tiktok_6867330194127111169,7039505802012429594,0.1,0.1,,47,10,0,1,0.0,0.02127659574468085,0,0,0,0.0,0,4,3,1
tiktok,7039548135559561985,tiktok_25630796,7039505802012429594,0.1,0.1,,149,29,0,2,0.0,0.013422818791946308,0,0,0,0.034482758620689655,0,4,3,1
tiktok,7039548073085403905,tiktok_6704659789160580098,7039505802012429594,0.2,0.2,,23,3,3,2,1.0,0.08695652173913043,0,0,0,0.0,0,4,3,1
tiktok,7039572585872573185,tiktok_6919434825062253569,7039505802012429594,0.2,0.2,,19,3,0,2,0.0,0.10526315789473684,0,0,0,0.0,0,5,3,1
tiktok,7039554988896600833,tiktok_6817649532139766786,7039505802012429594,1.0,0.2,,17,4,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039547906122302210,tiktok_6871028606803592193,7039505802012429594,0.2,0.2,,16,4,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039554989043827457,tiktok_6604624564499742722,7039505802012429594,0.2,0.2,,10,1,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039527521041531649,tiktok_6885558645326365698,7039505802012429594,0.1,0.1,,80,14,2,1,0.14285714285714285,0.0125,0,0,0,0.07142857142857142,0,2,3,1
tiktok,7039547697518560002,tiktok_6942940627735315457,7039505802012429594,0.2,0.2,,46,10,4,0,0.4,0.0,0,0,0,0.1,0,4,3,1
tiktok,7039547624189920002,tiktok_6848527610655589377,7039505802012429594,0.2,0.2,,9,2,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039528230629524225,tiktok_6946949672528217090,7039505802012429594,1.0,1.0,,60,2,50,0,1.0,0.0,0,0,1,0.0,1,2,3,1
tiktok,7039547391678792450,tiktok_6916931908845306882,7039505802012429594,1.0,1.0,,68,10,12,0,1.0,0.0,0,0,0,0.0,0,3,3,1
tiktok,7039555265595212546,tiktok_6899392542527046657,7039505802012429594,0.1,0.1,,90,14,1,0,0.07142857142857142,0.0,0,0,0,0.07142857142857142,0,4,3,1
tiktok,7039555370897507073,tiktok_6807344987455833089,7039505802012429594,0.2,0.2,,14,3,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039547290981597954,tiktok_6996547545024168962,7039505802012429594,0.15,0.15,,27,5,2,1,0.4,0.037037037037037035,0,0,0,0.0,0,3,3,1
tiktok,7039555398164218625,tiktok_52667262695936000,7039505802012429594,0.2,0.2,,13,2,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039547228570403585,tiktok_6805508336356688898,7039505802012429594,0.8,0.2,,109,20,2,0,0.1,0.0,0,0,0,0.05,0,3,3,1
tiktok,7039528905799631618,tiktok_6794045065204696066,7039505802012429594,0.67,0.67,,4,1,4,0,1.0,0.0,1,0,1,0.0,0,2,3,1
tiktok,7039555465767928578,tiktok_7015444329129591809,7039505802012429594,0.15,0.15,,26,7,0,0,0.0,0.0,0,0,0,0.2857142857142857,0,4,3,1
tiktok,7039555489877459713,tiktok_6984818514620777473,7039505802012429594,0.9,0.2,,12,2,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039572078705525506,tiktok_6808776195942302722,7039505802012429594,0.15,0.15,,23,6,1,0,0.16666666666666666,0.0,0,0,0,0.0,0,5,3,1
tiktok,7039529576318665474,tiktok_6974751399796147201,7039505802012429594,0.2,0.2,,6,1,3,0,1.0,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039529761630061314,tiktok_7013741495962420229,7039505802012429594,1.0,1.0,,7,1,7,0,1.0,0.0,0,0,1,0.0,1,2,3,1
tiktok,7039571673335087873,tiktok_6604313422702592001,7039505802012429594,0.15,0.15,,29,6,0,0,0.0,0.0,0,0,0,0.0,0,5,3,1
tiktok,7039547048223785729,tiktok_6818944396639470593,7039505802012429594,0.1,0.1,,94,18,3,4,0.16666666666666666,0.0425531914893617,0,0,0,0.05555555555555555,0,3,3,1
tiktok,7039547026714952450,tiktok_6799154903467656193,7039505802012429594,0.15,0.15,,40,7,0,0,0.0,0.0,0,0,0,0.0,0,3,3,1
tiktok,7039555877183652609,tiktok_6806829361364468737,7039505802012429594,0.2,0.2,,39,7,3,1,0.42857142857142855,0.02564102564102564,0,0,0,0.0,0,4,3,1
tiktok,7039529767099630338,tiktok_6982167298438824962,7039505802012429594,0.2,0.2,,81,15,5,0,0.3333333333333333,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039529882052788994,tiktok_6975765892886774785,7039505802012429594,0.67,0.67,,5,1,5,0,1.0,0.0,0,0,1,0.0,1,2,3,1
tiktok,7039571449413239553,tiktok_6807299389963551746,7039505802012429594,0.15,0.15,,47,8,0,0,0.0,0.0,0,0,0,0.0,0,5,3,1
tiktok,7039555939758473985,tiktok_6595317272327225345,7039505802012429594,0.2,0.2,,15,4,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039529905574396673,tiktok_6842983416414454785,7039505802012429594,0.1,0.1,,51,11,0,1,0.0,0.0196078431372549,0,0,0,0.0,0,2,3,1
tiktok,7039529918510154497,tiktok_7031510068332348418,7039505802012429594,0.2,0.2,,20,4,2,0,0.5,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039546997090960130,tiktok_6632906381191069697,7039505802012429594,0.15,0.15,,47,8,0,4,0.0,0.0851063829787234,0,0,0,0.0,0,3,3,1
tiktok,7039546935606805250,tiktok_7001845928571503622,7039505802012429594,0.15,0.15,,35,7,0,0,0.0,0.0,0,0,0,0.0,0,3,3,1
tiktok,7039529990299812609,tiktok_6913063307604034561,7039505802012429594,0.1,0.1,,105,16,0,0,0.0,0.0,0,0,0,0.0625,0,2,3,1
tiktok,7039571050292314882,tiktok_6559726260225998849,7039505802012429594,0.1,0.1,,46,10,0,0,0.0,0.0,0,0,0,0.1,0,5,3,1
tiktok,7039556202686169858,tiktok_6942742994408670209,7039505802012429594,0.8,0.2,,26,6,3,0,0.5,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039530032846766850,tiktok_6949013148968862726,7039505802012429594,0.3,0.3,,3,1,3,0,1.0,0.0,1,0,0,0.0,0,2,3,1
tiktok,7039556237121520386,tiktok_124993067400519680,7039505802012429594,0.2,0.2,,66,10,7,0,0.7,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039530395142619906,tiktok_6862564608961037313,7039505802012429594,0.2,0.2,,43,6,4,3,0.6666666666666666,0.06976744186046512,0,0,0,0.0,0,2,3,1
tiktok,7039556285250929410,tiktok_7011023297253639169,7039505802012429594,0.15,0.15,,39,7,3,0,0.42857142857142855,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039556294365217537,tiktok_6774661644980962305,7039505802012429594,0.15,0.15,,26,5,2,0,0.4,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039530629373199105,tiktok_219820519599198208,7039505802012429594,0.2,0.2,,15,4,0,0,0.0,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039556468219560705,tiktok_6855217000990671874,7039505802012429594,0.9,0.2,,14,2,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039556497797350145,tiktok_6834615316590281729,7039505802012429594,0.67,0.67,,28,4,5,0,1.0,0.0,0,0,1,0.0,0,4,3,1
tiktok,7039530684448981761,tiktok_6992333555209257986,7039505802012429594,0.1,0.1,,58,11,0,1,0.0,0.017241379310344827,0,0,0,0.0,0,2,3,1
tiktok,7039556511026381570,tiktok_6870378307583443969,7039505802012429594,0.2,0.2,,40,6,4,0,0.6666666666666666,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039530700831752961,tiktok_6808480257340097537,7039505802012429594,1.0,1.0,,22,1,6,0,1.0,0.0,0,0,1,0.0,1,2,3,1
tiktok,7039556523915985665,tiktok_7018169870152860673,7039505802012429594,0.1,0.1,,80,13,0,1,0.0,0.0125,0,0,0,0.0,0,4,3,1
tiktok,7039530788932584194,tiktok_6887373133176308741,7039505802012429594,0.2,0.2,,16,3,3,0,1.0,0.0,0,0,0,0.0,0,2,3,1
tiktok,7039546756861854465,tiktok_6855262730854810626,7039505802012429594,0.15,0.15,,41,9,0,3,0.0,0.07317073170731707,0,0,0,0.1111111111111111,0,3,3,1
tiktok,7039556604932997890,tiktok_6544208599412162561,7039505802012429594,0.1,0.1,,60,11,0,0,0.0,0.0,0,0,0,0.09090909090909091,0,4,3,1
tiktok,7039530845761323777,tiktok_6924231335436076033,7039505802012429594,0.1,0.1,,132,23,0,3,0.0,0.022727272727272728,0,0,0,0.043478260869565216,0,2,3,1
